timestamp,person_id,x_min,y_min,x_max,y_max,room_name
04:15:47,1,1454,438,1602,574,room-1
04:15:48,1,1454,440,1602,578,room-1
04:15:49,1,1450,428,1620,584,room-1
04:15:50,1,1434,410,1554,560,room-1
04:15:51,1,1440,422,1546,564,room-1
04:15:52,1,1472,496,1618,646,room-1
04:15:53,1,1536,670,1696,814,room-1
04:15:54,1,1550,888,1756,1008,room-1
04:15:55,1,1532,1126,1740,1234,room-1
04:15:57,1,1402,1560,1534,1700,room-1
04:15:58,1,1396,1560,1534,1708,room-1
04:15:59,1,1398,1580,1526,1734,room-1
04:16:00,1,1466,1628,1562,1728,room-1
04:20:26,2,1424,352,1556,478,room-1
04:20:27,2,1418,354,1546,476,room-1
04:20:28,2,1406,356,1530,492,room-1
04:20:29,2,1440,400,1608,546,room-1
04:20:30,2,1434,390,1580,544,room-1
04:20:31,2,1448,420,1588,566,room-1
04:20:32,2,1462,434,1594,558,room-1
04:20:33,2,1454,426,1596,568,room-1
04:20:34,2,1460,426,1596,562,room-1
04:20:35,2,1438,386,1576,526,room-1
04:20:36,2,1438,400,1574,550,room-1
04:20:37,2,1474,484,1628,642,room-1
04:20:38,2,1534,680,1688,828,room-1
04:20:39,2,1552,952,1754,1096,room-1
04:20:40,2,1538,1098,1728,1206,room-1
04:20:42,3,1398,1560,1522,1694,room-1
04:20:43,3,1388,1568,1520,1724,room-1
04:20:44,3,1420,1584,1534,1728,room-1
04:20:45,3,1480,1634,1576,1720,room-1
05:29:57,4,1480,1636,1566,1738,room-1
05:29:58,4,1328,1606,1492,1796,room-1
05:29:59,4,1226,1656,1362,1824,room-1
05:29:59,5,1124,1770,1224,1906,room-1
05:30:00,5,1104,1776,1206,1914,room-1
05:30:00,4,1110,1668,1244,1876,room-1
05:30:01,4,1056,1694,1182,1916,room-1
05:30:02,4,1040,1720,1146,1894,room-1
05:30:03,4,1054,1722,1148,1902,room-1
05:30:04,4,1072,1696,1148,1892,room-1
05:30:05,4,982,1650,1088,1876,room-1
05:30:05,5,942,1794,1032,1928,room-1
05:30:06,5,922,1792,1012,1926,room-1
05:30:06,4,884,1606,1000,1836,room-1
05:30:07,4,802,1614,920,1800,room-1
05:30:08,4,782,1614,932,1784,room-1
05:30:09,4,778,1612,944,1778,room-1
05:30:10,4,796,1626,956,1788,room-1
05:30:11,4,790,1614,948,1784,room-1
05:30:12,4,778,1616,926,1786,room-1
05:30:13,4,886,1640,1032,1804,room-1
05:30:14,4,894,1530,1090,1798,room-1
05:30:14,6,988,1814,1064,1928,room-1
05:30:15,4,888,1546,1088,1788,room-1
05:30:15,6,984,1812,1060,1928,room-1
05:30:16,4,874,1550,1070,1790,room-1
05:30:16,6,972,1816,1062,1930,room-1
05:30:17,6,1004,1822,1088,1928,room-1
05:30:17,4,980,1514,1166,1774,room-1
05:30:18,4,1072,1444,1224,1744,room-1
05:30:19,4,1086,1424,1246,1708,room-1
05:30:20,4,1086,1374,1284,1686,room-1
05:30:21,4,1114,1350,1318,1642,room-1
05:30:22,4,1102,1352,1308,1648,room-1
05:30:23,4,1076,1368,1282,1664,room-1
05:30:24,4,984,1274,1230,1600,room-1
05:30:25,4,880,1168,1110,1468,room-1
05:30:26,4,842,1030,1080,1306,room-1
05:30:27,4,824,806,1028,1016,room-1
05:30:28,4,684,620,980,890,room-1
05:30:29,4,614,712,854,926,room-1
05:30:30,4,648,726,912,976,room-1
05:30:31,4,626,716,924,972,room-1
05:30:32,4,626,726,906,950,room-1
05:30:33,4,482,812,798,992,room-1
05:30:34,4,470,954,710,1226,room-1
05:30:35,4,448,1016,766,1294,room-1
05:30:36,4,510,992,774,1266,room-1
05:30:37,4,510,742,722,986,room-1
05:30:38,4,630,664,936,892,room-1
05:30:39,4,672,646,918,888,room-1
05:30:40,4,644,640,938,900,room-1
05:30:41,4,694,634,1006,906,room-1
05:30:42,4,850,398,1098,780,room-1
05:30:43,4,1006,300,1194,644,room-1
05:30:44,4,1054,284,1240,608,room-1
05:30:45,4,1074,330,1238,638,room-1
05:30:46,4,1094,358,1238,680,room-1
05:30:47,4,1098,408,1274,718,room-1
05:30:48,4,1090,482,1290,800,room-1
05:30:49,4,1092,454,1288,770,room-1
05:30:50,4,1054,300,1254,596,room-1
05:30:51,4,1078,212,1242,504,room-1
05:30:52,4,1078,200,1196,444,room-1
05:30:53,4,952,172,1044,402,room-1
05:30:54,4,874,174,978,366,room-1
05:30:56,4,866,142,952,290,room-1
05:30:57,4,880,128,964,272,room-1
05:30:58,4,886,116,960,254,room-1
05:30:59,4,890,122,956,258,room-1
05:31:00,4,892,100,962,250,room-1
05:31:04,7,892,102,950,220,room-1
05:31:05,7,892,102,950,218,room-1
05:31:21,8,294,516,464,700,room-1
05:31:22,8,294,514,464,700,room-1
05:31:23,9,872,144,952,308,room-1
05:32:00,10,842,174,956,358,room-1
05:32:01,10,848,186,956,360,room-1
05:32:02,10,966,198,1088,400,room-1
05:32:03,10,1112,230,1248,446,room-1
05:32:04,10,1300,280,1414,414,room-1
05:32:05,10,1386,344,1514,468,room-1
05:32:06,10,1436,400,1588,542,room-1
05:32:07,10,1440,412,1592,548,room-1
05:32:08,10,1430,372,1616,538,room-1
05:32:09,10,1434,382,1594,544,room-1
05:32:10,10,1436,400,1594,578,room-1
05:32:11,10,1442,406,1588,594,room-1
05:32:12,10,1448,428,1620,598,room-1
05:32:13,10,1456,440,1626,600,room-1
05:32:14,10,1458,446,1618,600,room-1
05:32:15,10,1462,438,1634,610,room-1
05:32:16,10,1474,446,1638,626,room-1
